Altium Designer Pick and Place Locations
E:\Magazyn_TachBook\My Work\INNE\VHF_Amp\Project Outputs for VHF_AMP\Pick Place\Pick Place for VHF_AMP(std).txt

========================================================================================================================
File Design Information:

Date:       21.04.24
Time:       23:57
Revision:   65cfd9052a031a2b37059474601ac16928a15239
Variant:    std
Units used: mil

Designator       Comment              Layer       Footprint                      Center-X(mil) Center-Y(mil) Rotation Description                                                                                               
IC33             MIC5219-3.3YM5       BottomLayer SOT95P280X145-5N               7148.401      503.937       90       "500mA Peak Output LDO Regulator"                                                                         
TP6              "Test Point"         BottomLayer TPS127                         3452.756      3324.803      180      "Test Point"                                                                                              
R127             150                  TopLayer    RESC1608X55N                   622.229       720.866       0        "Resistor - 1%"                                                                                           
R137             150                  TopLayer    RESC1608X55N                   771.654       626.772       90       "Resistor - 1%"                                                                                           
IC38             74LVC1GU04GW         BottomLayer SOT65P212X110-5N               6637.795      1086.614      180      "Single Inverter Buffer"                                                                                  
C162             100nF                TopLayer    CAPC1005X55N                   4714.036      3484.252      270      "Non-polarised capacitor"                                                                                 
C161             100nF                BottomLayer CAPC1005X55N                   6615.413      1160.614      180      "Non-polarised capacitor"                                                                                 
WASHER2          "Custom 3D printed"  TopLayer    Keystone_7687                  -4000.000     -6000.000     180      "SMA_Shoulder Washer"                                                                                     
WASHER1          "Custom 3D printed"  TopLayer    Keystone_7687                  -4000.000     -6000.000     180      "SMA_Shoulder Washer"                                                                                     
ST1              SCHROFF_PANEL_3U_4HP TopLayer    SCHROFF_PANEL_3HP_4U           141.732       1966.535      0        "Schroff 3HP 4U EUROCARD Panel Kit"                                                                       
R183             0                    BottomLayer RESC1608X55N                   98.425        421.260       270      Resistor                                                                                                  
R182             0                    BottomLayer RESC1608X55N                   95.874        3515.793      90       Resistor                                                                                                  
C160             Undefined            BottomLayer CAPC2012X135N                  192.913       425.197       90       "Non-polarised capacitor"                                                                                 
C159             10nF                 BottomLayer CAPC1608X87N                   3862.205      1173.228      0        "Non-polarised capacitor"                                                                                 
C158             Undefined            BottomLayer CAPC2012X135N                  186.426       3507.919      270      "Non-polarised capacitor"                                                                                 
C157             10nF                 BottomLayer CAPC1608X87N                   3981.315      1170.782      180      "Non-polarised capacitor"                                                                                 
C156             10nF                 BottomLayer CAPC1608X87N                   3257.944      948.425       270      "Non-polarised capacitor"                                                                                 
C155             10nF                 BottomLayer CAPC1608X87N                   3034.853      934.656       0        "Non-polarised capacitor"                                                                                 
R181             1k                   BottomLayer RESC1005X40N                   2811.024      452.756       180      "Resistor - 1%"                                                                                           
R174             1k                   BottomLayer RESC1005X40N                   2842.616      611.514       90       "Resistor - 1%"                                                                                           
P2               10k                  BottomLayer TRIM_BOURNS_3224W              2653.543      519.685       90       "Trimming Potentiometer"                                                                                  
P1               10k                  BottomLayer TRIM_BOURNS_3224W              2653.543      755.905       90       "Trimming Potentiometer"                                                                                  
IC28             MAX6033AAUT25#TG16   BottomLayer SOT95P280X145-6N               3448.182      1140.439      270      "Ultra-High-Precision Voltage References"                                                                 
C154             1uF                  BottomLayer CAPC2012X110N                  3456.043      998.734       180      "Non-polarised capacitor"                                                                                 
C153             100nF                BottomLayer CAPC1005X55N                   3546.594      1105.033      90       "Non-polarised capacitor"                                                                                 
TP34             "Test Point"         BottomLayer TPS127                         3590.551      645.669       90       "Test Point"                                                                                              
TP33             "Test Point"         BottomLayer TPS127                         3590.551      759.842       90       "Test Point"                                                                                              
TP32             "Test Point"         BottomLayer TPS127                         3983.380      1325.684      0        "Test Point"                                                                                              
TP31             "Test Point"         BottomLayer TPS127                         3862.423      1325.684      0        "Test Point"                                                                                              
TP29             "Test Point"         BottomLayer TPS127                         2805.668      523.622       90       "Test Point"                                                                                              
TP28             "Test Point"         BottomLayer TPS127                         4648.228      2782.376      90       "Test Point"                                                                                              
TP27             "Test Point"         BottomLayer TPS127                         2842.616      696.293       90       "Test Point"                                                                                              
TP26             "Test Point"         BottomLayer TPS127                         6641.732      925.197       90       "Test Point"                                                                                              
TP25             "Test Point"         BottomLayer TPS127                         5578.547      889.173       90       "Test Point"                                                                                              
TP21             "Test Point"         BottomLayer TPS127                         3246.634      1535.433      90       "Test Point"                                                                                              
TP20             "Test Point"         BottomLayer TPS127                         2755.668      1009.587      90       "Test Point"                                                                                              
TP12             "Test Point"         BottomLayer TPS127                         7980.006      867.332       90       "Test Point"                                                                                              
TP11             "Test Point"         BottomLayer TPS127                         6389.839      2980.679      90       "Test Point"                                                                                              
PB3              "Push Button"        TopLayer    PB_TYCO_1-1825027-1            69.094        1500.197      0        "Push-Button Switch SPDT"                                                                                 
TP10             "Test Point"         BottomLayer TPS127                         2214.395      1637.795      90       "Test Point"                                                                                              
TP8_VHF_REV_RFD  "Test Point"         BottomLayer TPS127                         4995.667      3230.729      90       "Test Point"                                                                                              
TP8_VHF_FWD_RFD  "Test Point"         BottomLayer TPS127                         5043.507      2711.968      90       "Test Point"                                                                                              
TP2              "Test Point"         BottomLayer TPS127                         6641.732      838.583       180      "Test Point"                                                                                              
R180             47k                  BottomLayer RESC1005X40N                   6738.553      2198.417      0        "Resistor - 1%"                                                                                           
R179             10k                  BottomLayer RESC1005X40N                   7700.271      1036.835      270      "Resistor - 1%"                                                                                           
R178_VHF_REV_RFD 1k                   BottomLayer RESC1608X55N                   5064.414      3106.169      0        "Resistor - 1%"                                                                                           
R178_VHF_FWD_RFD 1k                   BottomLayer RESC1608X55N                   5063.357      2599.675      0        "Resistor - 1%"                                                                                           
R177             1k                   BottomLayer RESC1005X40N                   5098.425      3464.567      90       "Resistor - 1%"                                                                                           
LD11             Green                BottomLayer LED_KINGBRIGHT_KPH-1608CGCK    6752.277      2253.535      180      "LED Green 1C 2A"                                                                                         
LD9              Green                BottomLayer LED_KINGBRIGHT_KPH-1608CGCK    7751.559      1022.299      90       "LED Green 1C 2A"                                                                                         
LD8_VHF_REV_RFD  Green                BottomLayer LED_KINGBRIGHT_KPH-1608CGCK    5060.491      3023.464      0        "LED Green 1C 2A"                                                                                         
LD8_VHF_FWD_RFD  Green                BottomLayer LED_KINGBRIGHT_KPH-1608CGCK    5059.433      2516.970      0        "LED Green 1C 2A"                                                                                         
LD3              Green                BottomLayer LED_KINGBRIGHT_KPH-1608CGCK    5161.391      3448.807      90       "LED Green 1C 2A"                                                                                         
R175             1k                   BottomLayer RESC1005X40N                   3411.417      562.799       180      "Resistor - 1%"                                                                                           
R176             1k                   BottomLayer RESC1005X40N                   4173.228      846.924       270      "Resistor - 1%"                                                                                           
